YearMonth,State,OccurrenceCount
2016-10,ID,49
2016-10,IL,2591
2016-10,IN,202
2016-10,KS,122
2016-10,KY,121
2016-10,LA,96
2016-10,MA,703
2016-10,MD,1188
2016-10,ME,15
2016-10,MI,2664
2016-10,MN,413
2016-10,MO,547
2016-10,MS,55
2016-10,MT,6
2016-10,NC,1098
2016-10,NE,702
2016-10,NH,29
2016-10,NJ,1029
2016-10,NM,22
2016-10,NV,192
2016-10,NY,2704
2016-10,OH,993
2016-10,OK,90
2016-10,OR,193
2016-10,PA,3293
2016-10,RI,181
2016-10,SC,464
2016-10,TN,188
2016-10,TX,7771
2016-10,UT,148
2016-10,VA,1058
2016-10,VT,1
2016-10,WA,1459
2016-10,WI,231
2016-10,WV,32
2016-10,WY,10
2016-11,AL,13
2016-11,AR,3
2016-11,AZ,483
2016-11,CA,17666
2016-11,CO,201
2016-11,CT,717
2016-11,DC,98
2016-11,DE,45
2016-11,FL,6624
2016-11,GA,2317
2016-11,IA,366
2016-11,ID,59
2016-11,IL,3062
2016-11,IN,203
2016-11,KS,144
2016-11,KY,123
2016-11,LA,136
2016-11,MA,963
2016-11,MD,1422
2016-11,ME,23
2016-11,MI,2802
2016-11,MN,415
2016-11,MO,623
2016-11,MS,59
2016-11,MT,10
2016-11,NC,928
2016-11,NE,626
2016-11,NH,37
2016-11,NJ,1314
2016-11,NM,34
2016-11,NV,250
2016-11,NY,3213
2016-11,OH,1290
2016-11,OK,94
2016-11,OR,199
2016-11,PA,4005
2016-11,RI,249
2016-11,SC,527
2016-11,SD,1
2016-11,TN,267
2016-11,TX,9850
2016-11,UT,158
2016-11,VA,1455
2016-11,VT,5
2016-11,WA,1604
2016-11,WI,280
2016-11,WV,61
2016-11,WY,16
2016-12,AL,24
2016-12,AR,3
2016-12,AZ,429
2016-12,CA,14925
2016-12,CO,199
2016-12,CT,592
2016-12,DC,81
2016-12,DE,26
2016-12,FL,6323
2016-12,GA,2282
2016-12,IA,387
2016-12,ID,83
2016-12,IL,2920
2016-12,IN,290
2016-12,KS,118
2016-12,KY,95
2016-12,LA,117
2016-12,MA,872
2016-12,MD,1463
2016-12,ME,37
2016-12,MI,3408
2016-12,MN,500
2016-12,MO,678
2016-12,MS,59
2016-12,MT,16
2016-12,NC,970
2016-12,ND,1
2016-12,NE,559
2016-12,NH,110
2016-12,NJ,1163
2016-12,NM,27
2016-12,NV,160
2016-12,NY,3080
2016-12,OH,1342
2016-12,OK,123
2016-12,OR,203
2016-12,PA,3353
2016-12,RI,222
2016-12,SC,491
2016-12,SD,2
2016-12,TN,315
2016-12,TX,8122
2016-12,UT,132
2016-12,VA,1373
2016-12,VT,5
2016-12,WA,1630
2016-12,WI,256
2016-12,WV,39
2016-12,WY,14
2017-01,AL,31
2017-01,AR,9
2017-01,AZ,305
2017-01,CA,14568
2017-01,CO,178
2017-01,CT,539
2017-01,DC,79
2017-01,DE,26
2017-01,FL,5529
2017-01,GA,1943
2017-01,IA,314
2017-01,ID,78
2017-01,IL,2392
2017-01,IN,216
2017-01,KS,128
2017-01,KY,53
2017-01,LA,129
2017-01,MA,927
2017-01,MD,1260
2017-01,ME,37
2017-01,MI,2727
2017-01,MN,491
2017-01,MO,627
2017-01,MS,78
2017-01,MT,28
2017-01,NC,949
2017-01,NE,551
2017-01,NH,105
2017-01,NJ,1100
2017-01,NM,16
2017-01,NV,193
2017-01,NY,2914
2017-01,OH,1525
2017-01,OK,71
2017-01,OR,123
2017-01,PA,3026
2017-01,RI,180
2017-01,SC,501
2017-01,SD,2
2017-01,TN,221
2017-01,TX,8699
2017-01,UT,159
2017-01,VA,1122
2017-01,VT,3
2017-01,WA,1240
2017-01,WI,255
2017-01,WV,53
2017-01,WY,13
2017-02,AL,13
2017-02,AR,17
2017-02,AZ,294
2017-02,CA,14406
2017-02,CO,133
2017-02,CT,535
2017-02,DC,78
2017-02,DE,29
2017-02,FL,4939
2017-02,GA,1781
2017-02,IA,313
2017-02,ID,56
2017-02,IL,2378
2017-02,IN,198
2017-02,KS,89
2017-02,KY,58
2017-02,LA,120
2017-02,MA,953
2017-02,MD,1102
2017-02,ME,61
2017-02,MI,2103
2017-02,MN,224
2017-02,MO,521
2017-02,MS,65
2017-02,MT,18
2017-02,NC,1008
2017-02,NE,536
2017-02,NH,171
2017-02,NJ,1150
2017-02,NM,16
2017-02,NV,143
2017-02,NY,2867
2017-02,OH,1187
2017-02,OK,87
2017-02,OR,130
2017-02,PA,3005
2017-02,RI,207
2017-02,SC,520
2017-02,SD,2
2017-02,TN,199
2017-02,TX,7188
2017-02,UT,94
2017-02,VA,933
2017-02,VT,13
2017-02,WA,1428
2017-02,WI,227
2017-02,WV,62
2017-02,WY,22
2017-03,AL,25
2017-03,AR,15
2017-03,AZ,399
2017-03,CA,14680
2017-03,CO,138
2017-03,CT,596
2017-03,DC,62
2017-03,DE,20
2017-03,FL,6619
2017-03,GA,1954
2017-03,IA,231
2017-03,ID,37
2017-03,IL,2526
2017-03,IN,193
2017-03,KS,141
2017-03,KY,100
2017-03,LA,161
2017-03,MA,725
2017-03,MD,1287
2017-03,ME,44
2017-03,MI,2785
2017-03,MN,248
2017-03,MO,634
2017-03,MS,91
2017-03,MT,8
2017-03,NC,1406
2017-03,NE,492
2017-03,NH,101
2017-03,NJ,1389
2017-03,NM,20
2017-03,NV,113
2017-03,NY,3022
2017-03,OH,1105
2017-03,OK,68
2017-03,OR,149
2017-03,PA,3140
2017-03,RI,173
2017-03,SC,562
2017-03,TN,275
2017-03,TX,8610
2017-03,UT,100
2017-03,VA,1180
2017-03,VT,15
2017-03,WA,1352
2017-03,WI,242
2017-03,WV,72
2017-03,WY,10
2017-04,AL,26
2017-04,AR,16
2017-04,AZ,266
2017-04,CA,14572
2017-04,CO,170
2017-04,CT,436
2017-04,DC,53
2017-04,DE,25
2017-04,FL,4366
2017-04,GA,1480
2017-04,IA,256
2017-04,ID,24
2017-04,IL,2337
2017-04,IN,169
2017-04,KS,118
2017-04,KY,56
2017-04,LA,127
2017-04,MA,502
2017-04,MD,1001
2017-04,ME,36
2017-04,MI,2043
2017-04,MN,295
2017-04,MO,526
2017-04,MS,78
2017-04,MT,3
2017-04,NC,904
2017-04,NE,510
2017-04,NH,92
2017-04,NJ,1017
2017-04,NM,29
2017-04,NV,86
2017-04,NY,2296
2017-04,OH,799
2017-04,OK,98
2017-04,OR,124
2017-04,PA,2454
2017-04,RI,176
2017-04,SC,463
2017-04,TN,266
2017-04,TX,7483
2017-04,UT,65
2017-04,VA,928
2017-04,VT,3
2017-04,WA,1095
2017-04,WI,191
2017-04,WV,51
2017-04,WY,4
2017-05,AL,72
2017-05,AR,4
2017-05,AZ,438
2017-05,CA,11403
2017-05,CO,218
2017-05,CT,426
2017-05,DC,45
2017-05,DE,50
2017-05,FL,3905
2017-05,GA,1521
2017-05,IA,169
2017-05,ID,33
2017-05,IL,1990
2017-05,IN,226
2017-05,KS,110
2017-05,KY,49
2017-05,LA,28
2017-05,MA,408
2017-05,MD,863
2017-05,ME,47
2017-05,MI,1825
2017-05,MN,307
2017-05,MO,458
2017-05,MS,17
2017-05,MT,7
2017-05,NC,808
2017-05,NE,407
2017-05,NH,88
2017-05,NJ,1039
2017-05,NM,40
2017-05,NV,171
2017-05,NY,2039
2017-05,OH,820
2017-05,OK,84
2017-05,OR,147
2017-05,PA,1932
2017-05,RI,188
2017-05,SC,386
2017-05,TN,230
2017-05,TX,5680
2017-05,UT,138
2017-05,VA,930
2017-05,VT,5
2017-05,WA,1101
2017-05,WI,244
2017-05,WV,38
2017-05,WY,2
2017-06,AL,69
2017-06,AZ,316
2017-06,CA,12612
2017-06,CO,207
2017-06,CT,570
2017-06,DC,39
2017-06,DE,41
2017-06,FL,4079
2017-06,GA,1599
2017-06,IA,219
2017-06,ID,24
2017-06,IL,2341
2017-06,IN,172
2017-06,KS,87
2017-06,KY,61
2017-06,MA,574
2017-06,MD,1069
2017-06,ME,48
2017-06,MI,2299
2017-06,MN,335
2017-06,MO,467
2017-06,MT,3
2017-06,NC,858
2017-06,NE,515
2017-06,NH,100
2017-06,NJ,1147
2017-06,NM,50
2017-06,NV,193
2017-06,NY,2761
2017-06,OH,918
2017-06,OK,79
2017-06,OR,108
2017-06,PA,2358
2017-06,RI,241
2017-06,SC,460
2017-06,TN,208
2017-06,TX,6339
2017-06,UT,173
2017-06,VA,954
2017-06,VT,6
2017-06,WA,1243
2017-06,WI,239
2017-06,WV,85
2017-06,WY,6
2017-07,AL,138
2017-07,AR,2
2017-07,AZ,518
2017-07,CA,11013
2017-07,CO,253
2017-07,CT,522
2017-07,DC,41
2017-07,DE,48
2017-07,FL,3255
2017-07,GA,1613
2017-07,IA,261
2017-07,ID,39
2017-07,IL,1732
2017-07,IN,333
2017-07,KS,131
2017-07,KY,142
2017-07,LA,322
2017-07,MA,544
2017-07,MD,1013
2017-07,ME,62
2017-07,MI,1955
2017-07,MN,538
2017-07,MO,439
2017-07,MS,8
2017-07,MT,15
2017-07,NC,1267
2017-07,NE,410
2017-07,NH,112
2017-07,NJ,950
2017-07,NM,58
2017-07,NV,170
2017-07,NY,2359
2017-07,OH,712
2017-07,OK,267
2017-07,OR,243
2017-07,PA,1363
2017-07,RI,166
2017-07,SC,741
2017-07,TN,455
2017-07,TX,5742
2017-07,UT,232
2017-07,VA,1173
2017-07,VT,9
2017-07,WA,1562
2017-07,WI,231
2017-07,WV,94
2017-07,WY,9
2017-08,AL,665
2017-08,AR,16
2017-08,AZ,2087
2017-08,CA,12323
2017-08,CO,1211
2017-08,CT,614
2017-08,DC,78
2017-08,DE,117
2017-08,FL,6634
2017-08,GA,2051
2017-08,IA,260
2017-08,ID,33
2017-08,IL,1824
2017-08,IN,1347
2017-08,KS,263
2017-08,KY,549
2017-08,LA,2829
2017-08,MA,835
2017-08,MD,1152
2017-08,ME,72
2017-08,MI,2456
2017-08,MN,1629
2017-08,MO,823
2017-08,MS,152
2017-08,MT,4
2017-08,NC,5771
2017-08,ND,2
2017-08,NE,536
2017-08,NH,288
2017-08,NJ,1272
2017-08,NM,169
2017-08,NV,289
2017-08,NY,4121
2017-08,OH,1296
2017-08,OK,1783
2017-08,OR,842
2017-08,PA,2110
2017-08,RI,313
2017-08,SC,5284
2017-08,SD,2
2017-08,TN,2660
2017-08,TX,7803
2017-08,UT,811
2017-08,VA,3290
2017-08,VT,19
2017-08,WA,1662
2017-08,WI,548
2017-08,WV,48
2017-08,WY,12
2017-09,AL,522
2017-09,AR,15
2017-09,AZ,2297
2017-09,CA,12480
2017-09,CO,1180
2017-09,CT,561
2017-09,DC,77
2017-09,DE,165
2017-09,FL,4717
2017-09,GA,1928
2017-09,IA,212
2017-09,ID,16
2017-09,IL,1711
2017-09,IN,1391
2017-09,KS,164
2017-09,KY,658
2017-09,LA,2815
2017-09,MA,862
2017-09,MD,1154
2017-09,ME,50
2017-09,MI,2429
2017-09,MN,1490
2017-09,MO,677
2017-09,MS,147
2017-09,MT,6
2017-09,NC,5591
2017-09,ND,1
2017-09,NE,507
2017-09,NH,245
2017-09,NJ,1146
2017-09,NM,173
2017-09,NV,304
2017-09,NY,3740
2017-09,OH,1472
2017-09,OK,1959
2017-09,OR,781
2017-09,PA,2441
2017-09,RI,301
2017-09,SC,4709
2017-09,SD,1
2017-09,TN,2336
2017-09,TX,7099
2017-09,UT,912
2017-09,VA,3028
2017-09,VT,6
2017-09,WA,1840
