State,Hourly,OccurrenceCount
ID,20:00,277
ID,21:00,296
ID,22:00,270
ID,23:00,315
IL,00:00,1373
IL,01:00,1500
IL,02:00,1324
IL,03:00,2236
IL,04:00,4021
IL,05:00,5753
IL,06:00,11748
IL,07:00,16949
IL,08:00,17825
IL,09:00,7703
IL,10:00,7427
IL,11:00,7571
IL,12:00,6401
IL,13:00,7095
IL,14:00,7411
IL,15:00,11551
IL,16:00,13295
IL,17:00,11882
IL,18:00,10180
IL,19:00,5108
IL,20:00,3418
IL,21:00,2795
IL,22:00,2541
IL,23:00,1851
IN,00:00,849
IN,01:00,688
IN,02:00,617
IN,03:00,713
IN,04:00,1515
IN,05:00,2223
IN,06:00,4324
IN,07:00,7297
IN,08:00,6802
IN,09:00,3190
IN,10:00,3028
IN,11:00,2997
IN,12:00,2823
IN,13:00,2798
IN,14:00,3237
IN,15:00,3727
IN,16:00,4822
IN,17:00,4686
IN,18:00,3457
IN,19:00,2313
IN,20:00,1707
IN,21:00,1513
IN,22:00,1096
IN,23:00,802
KS,00:00,338
KS,01:00,251
KS,02:00,195
KS,03:00,159
KS,04:00,313
KS,05:00,529
KS,06:00,1088
KS,07:00,2156
KS,08:00,1971
KS,09:00,984
KS,10:00,783
KS,11:00,747
KS,12:00,691
KS,13:00,793
KS,14:00,951
KS,15:00,1490
KS,16:00,1876
KS,17:00,2047
KS,18:00,1219
KS,19:00,671
KS,20:00,546
KS,21:00,439
KS,22:00,381
KS,23:00,374
KY,00:00,142
KY,01:00,105
KY,02:00,95
KY,03:00,97
KY,04:00,630
KY,05:00,1022
KY,06:00,1975
KY,07:00,4356
KY,08:00,4270
KY,09:00,1497
KY,10:00,1306
KY,11:00,1304
KY,12:00,1050
KY,13:00,1396
KY,14:00,1372
KY,15:00,1284
KY,16:00,3130
KY,17:00,3221
KY,18:00,1442
KY,19:00,706
KY,20:00,584
KY,21:00,452
KY,22:00,421
KY,23:00,397
LA,00:00,1761
LA,01:00,1443
LA,02:00,1247
LA,03:00,1182
LA,04:00,2383
LA,05:00,3499
LA,06:00,7084
LA,07:00,11068
LA,08:00,10743
LA,09:00,8917
LA,10:00,9219
LA,11:00,6435
LA,12:00,7752
LA,13:00,8184
LA,14:00,9306
LA,15:00,12655
LA,16:00,12604
LA,17:00,10925
LA,18:00,7900
LA,19:00,4050
LA,20:00,3449
LA,21:00,3282
LA,22:00,2564
LA,23:00,2049
MA,00:00,173
MA,01:00,135
MA,02:00,96
MA,03:00,85
MA,04:00,1108
MA,05:00,2659
MA,06:00,5165
MA,07:00,8314
MA,08:00,7861
MA,09:00,4669
MA,10:00,3300
MA,11:00,2444
MA,12:00,905
MA,13:00,1503
MA,14:00,1963
MA,15:00,2125
MA,16:00,7000
MA,17:00,6373
MA,18:00,3118
MA,19:00,1040
MA,20:00,751
MA,21:00,521
MA,22:00,501
MA,23:00,187
MD,00:00,2409
MD,01:00,2045
MD,02:00,1969
MD,03:00,1861
MD,04:00,3157
MD,05:00,5533
MD,06:00,8743
MD,07:00,11273
MD,08:00,10487
MD,09:00,6510
MD,10:00,6203
MD,11:00,6145
MD,12:00,6643
MD,13:00,7294
MD,14:00,8174
MD,15:00,8620
MD,16:00,8894
MD,17:00,8942
MD,18:00,7013
MD,19:00,4916
MD,20:00,4143
MD,21:00,3289
MD,22:00,3407
MD,23:00,2747
ME,00:00,49
ME,01:00,12
ME,02:00,13
ME,03:00,15
ME,04:00,27
ME,05:00,47
ME,06:00,80
ME,07:00,157
ME,08:00,201
ME,09:00,136
ME,10:00,151
ME,11:00,155
ME,12:00,143
ME,13:00,141
ME,14:00,155
ME,15:00,170
ME,16:00,285
ME,17:00,291
ME,18:00,172
ME,19:00,84
ME,20:00,58
ME,21:00,61
ME,22:00,50
ME,23:00,45
MI,00:00,2298
MI,01:00,2233
MI,02:00,2384
MI,03:00,2012
MI,04:00,4416
MI,05:00,4387
MI,06:00,8349
MI,07:00,13037
MI,08:00,13206
MI,09:00,7580
MI,10:00,7404
MI,11:00,7611
MI,12:00,6414
MI,13:00,6727
MI,14:00,8376
MI,15:00,11714
MI,16:00,12618
MI,17:00,11785
MI,18:00,8946
MI,19:00,6254
MI,20:00,4754
MI,21:00,3776
MI,22:00,3674
MI,23:00,2236
MN,00:00,3080
MN,01:00,2775
MN,02:00,2480
MN,03:00,2137
